el_price,cf_wind,cf_solar
39.4,0.99999996,0.0
37.95,0.99999999,0.0
37.25,1.0,0.0
37.5,1.0,0.0
41.05,1.0,0.00541516
49.62,0.99999843,0.04459616
58.98,0.99988832,0.12567786
60.08,0.99936231,0.25535668
53.64,0.99693865,0.38746916
50.28,0.99819587,0.47359031
51.15,0.99674071,0.57419386
50.97,0.99680339,0.62523053
48.56,0.99482342,0.63045136
47.4,0.99782096,0.59793792
46.91,0.99671838,0.53289794
45.97,0.93301086,0.41477603
46.93,0.80300009,0.3047513
50.79,0.74038105,0.13904316
52.92,0.78634552,0.03747888
52.9,0.62046311,0.00284272
51.45,0.49893672,0.0
51.22,0.54812613,0.0
48.47,0.57243024,0.0
44.78,0.61165367,0.0
44.19,0.58708355,0.0
43.28,0.57448639,0.0
41.09,0.59195633,0.0
39.49,0.5959217,0.0
40.93,0.54734382,0.00090047
43.78,0.6162149,0.04112146
45.1,0.54973778,0.09740311
47.28,0.5858085,0.20975143
47.89,0.63698244,0.34166408
48.6,0.66801555,0.47795152
47.9,0.74786658,0.61714472
45.84,0.81834763,0.67836579
43.9,0.78942445,0.67235054
40.21,0.74601949,0.65488407
39.26,0.75344859,0.53886604
39.18,0.98736373,0.42880751
40.92,0.77523207,0.30619951
44.91,0.80308523,0.1810567
46.92,0.71997657,0.05321485
46.8,0.54283106,0.00458324
45.5,0.76778879,0.0
45.92,0.61205767,0.0
44.3,0.63634548,0.0
39.66,0.65000057,0.0
40.1,0.71699127,0.0
37.13,0.65518781,0.0
36.61,0.69160807,0.0
37.23,0.74995783,0.0
37.01,0.79560868,0.00356689
37.36,0.71051537,0.04138858
39.43,0.83798844,0.11374811
40.51,0.8793148,0.27384652
40.66,0.89545774,0.44323712
37.1,0.92816949,0.58443383
36.4,0.89855321,0.69436106
34.89,0.93026715,0.74828424
33.87,0.8631158,0.74887813
30.4,0.9582715,0.70932225
29.77,0.88632541,0.6085404
31.74,0.92522722,0.45819825
35.51,0.96596144,0.29557352
42.9,0.95311499,0.13380585
46.65,0.76219583,0.02526709
49.65,0.6030314,0.00064349
46.27,0.45937573,0.0
47.76,0.40961391,0.0
44.56,0.41163347,0.0
38.84,0.46982607,0.0
37.7,0.53504044,0.0
37.17,0.59085792,0.0
38.9,0.70673666,0.0
37.99,0.53997694,0.0
42.6,0.41753787,0.0
54.96,0.47375112,0.01872902
60.87,0.54033514,0.0784188
63.22,0.63247027,0.2118924
58.62,0.8066828,0.34478452
56.63,0.9749173,0.48286436
55.5,0.97375137,0.63708662
51.99,0.97174927,0.70357217
50.29,0.97364497,0.71192025
47.59,0.94129698,0.68011719
46.01,0.80635882,0.58957224
45.1,0.73922844,0.45580549
46.09,0.77517816,0.29453591
47.91,0.71059074,0.12918854
54.4,0.68711916,0.02472452
57.9,0.54493522,0.00242586
56.14,0.4310181,0.0
55.0,0.45889966,0.0
47.61,0.39691303,0.0
44.01,0.36005938,0.0
40.98,0.38269486,0.0
40.8,0.39068239,0.0
40.03,0.42483747,0.0
40.03,0.42036335,0.0
42.71,0.47843233,0.0
51.59,0.52667266,0.0119375
60.16,0.53727969,0.07801638
64.59,0.76117228,0.22979977
59.95,0.95645045,0.40072704
52.52,0.94037192,0.5477837
51.2,0.91012744,0.65522041
49.85,0.95721787,0.71419962
48.94,0.82589966,0.72311093
48.0,0.80481689,0.68293143
46.77,0.93446819,0.59577667
47.1,0.88046347,0.47500663
48.94,0.85949464,0.32521495
57.45,0.77899296,0.17206774
64.99,0.75177419,0.04732321
68.61,0.99365568,0.00362237
55.0,0.99939644,0.0
50.98,0.97736697,0.0
46.09,0.94043488,0.0
44.18,0.87148975,0.0
39.03,0.88259203,0.0
36.54,0.75905019,0.0
35.79,0.76135877,0.0
36.63,0.85418135,0.0
38.55,0.8595479,0.00543662
46.99,0.85859142,0.05091901
54.43,0.69936693,0.14248037
58.02,0.70056367,0.28262991
54.72,0.78556382,0.437977
49.47,0.85817223,0.57112409
47.99,0.93264245,0.66372159
45.01,0.76074579,0.7168073
43.11,0.79426186,0.72137435
41.77,0.87295487,0.68420788
41.48,0.9300621,0.60345357
41.73,0.97237313,0.48042792
45.52,0.96354732,0.32069522
50.27,0.98053976,0.16439276
53.43,0.84570368,0.04792426
55.55,0.8837328,0.0041537
49.01,0.9406148,0.0
48.45,0.96903125,0.0
42.97,0.98894652,0.0
39.76,0.96303075,0.0
37.3,0.9573616,0.0
37.24,0.95454281,0.0
36.52,0.96658611,0.0
37.1,0.94271958,0.0
38.87,0.9020328,0.0006911
47.91,0.84293685,0.03233237
56.4,0.87191993,0.10448621
59.86,0.87901788,0.24942083
52.19,0.89437763,0.40676351
49.95,0.93150857,0.54155738
49.93,0.95376263,0.65187604
49.05,0.97268045,0.69030357
47.76,0.9941058,0.70117767
45.76,0.99818666,0.66936534
45.33,0.9981529,0.58609024
45.54,0.99942111,0.44728833
49.71,0.97789103,0.32006153
49.98,0.95968774,0.16657418
57.49,0.99522239,0.04260304
59.9,0.98305031,0.00221745
52.07,0.95906599,0.0
49.41,0.89378632,0.0
45.28,0.82255852,0.0
40.1,0.68914849,0.0
38.89,0.16677714,0.0
38.2,0.18877892,0.0
37.93,0.3149748,0.0
38.1,0.65970344,0.0
40.72,0.50305867,0.00782858
57.33,0.44203698,0.04732743
73.75,0.59433779,0.13654585
66.98,0.81345767,0.27868308
56.77,0.94844851,0.42168705
53.66,0.95480426,0.549857
50.97,0.9329572,0.64082998
44.54,0.99293524,0.69194942
41.73,0.97646873,0.70112979
40.73,0.97172278,0.66958014
40.22,0.92272689,0.59977003
41.46,0.905371,0.49361683
49.19,0.91508155,0.35419759
58.28,0.88572639,0.20928765
66.53,0.88880565,0.07853038
66.06,0.7871742,0.01241347
57.0,0.70611267,0.0
50.6,0.57854993,0.0
44.92,0.5202316,0.0
41.21,0.55455614,0.0
38.38,0.61310845,0.0
37.01,0.64916337,0.0
36.12,0.69618909,0.0
37.02,0.71401857,0.0
35.5,0.662866,0.00901688
36.1,0.69626595,0.05022386
37.78,0.63611506,0.13396958
38.46,0.65962735,0.27547353
39.83,0.89268999,0.41279388
39.82,0.90572356,0.53562629
39.0,0.89816374,0.63389149
37.87,0.86394938,0.67797255
34.7,0.82466686,0.69105361
33.94,0.8447829,0.66039184
33.51,0.8466433,0.5906215
33.85,0.82064921,0.4820175
35.62,0.91114856,0.35944946
40.68,0.82276177,0.19599598
52.46,0.67644785,0.07678802
56.23,0.66098426,0.01075916
49.95,0.83113659,0.0
41.96,0.78349559,0.0
39.47,0.77950309,0.0
37.69,0.73138509,0.0
35.04,0.74930119,0.0
35.42,0.7906442,0.0
36.01,0.79552757,0.0
35.91,0.85679927,0.0
33.88,0.85509786,0.01042617
36.25,0.87445699,0.05626685
34.3,0.82521136,0.1538638
35.46,0.89486362,0.30428495
36.92,0.92525677,0.44792001
37.0,0.93609508,0.58737687
37.16,0.826682,0.67880338
36.43,0.89874835,0.724724
34.04,0.86447702,0.73270955
32.14,0.84340188,0.69877982
32.04,0.75640054,0.62655237
32.17,0.85771823,0.51554306
34.94,0.86083707,0.36952149
44.38,0.64318298,0.21657076
48.77,0.33857934,0.079413
50.53,0.42978685,0.0124354
51.6,0.3726025,0.0
48.05,0.3195766,0.0
42.24,0.60301434,0.0
38.46,0.62212276,0.0
36.58,0.39276145,0.0
36.45,0.53414176,0.0
35.16,0.45563053,0.0
35.93,0.70585192,0.0
38.73,0.6456794,0.01007226
50.07,0.65992982,0.05457319
69.32,0.58562699,0.15029412
61.99,0.39670294,0.29902294
56.04,0.45396335,0.44620095
55.73,0.49045092,0.57644144
53.89,0.49833375,0.66310778
47.35,0.64745301,0.72113187
47.24,0.6397103,0.72846179
45.3,0.60672356,0.69167457
45.13,0.53390968,0.61967727
44.95,0.60368438,0.50912084
53.02,0.61486858,0.36400529
60.54,0.56805505,0.21410559
71.5,0.38313471,0.07883888
70.6,0.33474673,0.01155446
65.04,0.35984562,0.0
51.87,0.22602594,0.0
43.36,0.13580614,0.0
38.8,0.22212952,0.0
38.35,0.24067763,0.0
38.16,0.27069504,0.0
38.0,0.30499522,0.0
38.16,0.29909783,0.0
39.54,0.26253636,0.01026397
48.5,0.28609682,0.05251774
56.76,0.18116551,0.14509013
56.16,0.27802232,0.28405386
54.25,0.35950152,0.43543565
52.73,0.36621536,0.56531898
54.02,0.38333924,0.672785
47.38,0.56395771,0.7263765
45.72,0.9510856,0.73483779
45.09,0.87215542,0.69934907
46.48,0.95021284,0.62295342
49.8,0.93539916,0.50801265
55.99,0.96564733,0.35830466
61.53,0.94011587,0.20343043
74.8,0.93026846,0.07222383
73.09,0.96951892,0.01138954
61.92,0.99421557,0.0
55.0,0.87237437,0.0
45.5,0.6472283,0.0
42.25,0.49879112,0.0
39.65,0.33491521,0.0
38.48,0.3457611,0.0
38.14,0.41106049,0.0
37.94,0.56033877,0.0
39.1,0.5795618,0.0096983
48.31,0.51035834,0.05295873
66.14,0.55180338,0.1464089
66.73,0.59321851,0.29433196
59.78,0.62998865,0.44106394
52.79,0.71881177,0.5691062
51.7,0.74219238,0.65791819
47.7,0.64822457,0.70414889
45.83,0.69961377,0.70874364
45.12,0.66266253,0.67361695
47.0,0.78599468,0.59855476
50.63,0.91805127,0.48841036
57.75,0.95606237,0.36336282
69.85,0.88051333,0.20378277
80.01,0.74594852,0.07977813
73.08,0.69967183,0.01300278
69.95,0.74276091,0.0
57.81,0.81070566,0.0
49.8,0.78643433,0.0
45.62,0.70717696,0.0
42.05,0.56559838,0.0
39.58,0.57420696,0.0
39.09,0.50301096,0.0
38.9,0.50727223,0.0
40.67,0.46792246,0.00978504
47.07,0.37035797,0.05473742
58.94,0.35769712,0.1501454
58.92,0.41530021,0.2954381
56.92,0.48562233,0.42553724
52.78,0.47148172,0.55353076
53.99,0.45079098,0.64680937
51.42,0.49196177,0.6942846
50.0,0.57225562,0.70766971
46.65,0.42371637,0.67680197
47.78,0.46685858,0.60742404
50.15,0.6934748,0.50126287
56.85,0.3699329,0.36005727
62.05,0.28218031,0.21277514
69.58,0.37074711,0.08025574
76.5,0.26629875,0.01282021
62.61,0.25300122,0.0
51.53,0.32724324,0.0
44.54,0.2918489,0.0
40.41,0.22465801,0.0
36.06,0.66853421,0.0
35.04,0.84377272,0.0
35.73,0.94115204,0.0
36.13,0.98234665,0.0
37.25,0.87768042,0.0
48.77,0.64330908,0.0
53.47,0.50052387,0.03540148
60.73,0.50452679,0.15891366
54.32,0.57390598,0.32004904
55.62,0.69486041,0.46539637
54.94,0.6441349,0.57101889
53.95,0.66227595,0.58186573
52.44,0.7788195,0.55963098
52.52,0.82014933,0.55986014
53.01,0.8532994,0.47228089
52.19,0.90892911,0.37094005
54.3,0.86715167,0.23055857
66.47,0.77623157,0.08601565
59.98,0.78586576,0.00348462
53.11,0.80978295,0.0
52.01,0.75322093,0.0
46.44,0.77340582,0.0
44.28,0.84394201,0.0
39.7,0.85496533,0.0
42.63,0.78502795,0.0
39.78,0.72509596,0.0
38.81,0.69149533,0.0
37.19,0.77575341,0.0
37.32,0.81276947,0.0
37.49,0.86793922,0.0
44.98,0.82314661,0.038263
43.4,0.88461358,0.16031172
42.95,0.84187468,0.30347269
45.35,0.85625589,0.45862574
44.15,0.90966692,0.56343624
42.7,0.85030532,0.61032481
41.5,0.84950896,0.62797446
40.77,0.91492711,0.57619452
41.14,0.84455857,0.46953457
43.02,0.81159766,0.342007
48.99,0.84435962,0.1741184
52.9,0.79760746,0.05200903
53.1,0.81798639,0.00045456
50.01,0.86948475,0.0
47.35,0.88627039,0.0
42.42,0.90389215,0.0
41.94,0.8792613,0.0
40.13,0.854116,0.0
37.57,0.83172178,0.0
35.3,0.82437279,0.0
35.13,0.82339785,0.0
34.22,0.8596527899999999,0.0
33.86,0.8925103,0.0
35.01,0.91512342,0.0
35.6,0.94310701,0.01372213
37.52,0.93642138,0.11542856
37.52,0.97216655,0.26323126
39.12,0.97022815,0.4016472
39.72,0.97529078,0.50498784
40.76,0.94080942,0.55914809
